,Country,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
17282,in,bihariganj,25.733333,86.983333,85.47,45,0,7.18
13586,gr,gazoros,41.0166667,23.7666667,51.27,97,0,6.62
22004,ke,kitui,-1.3666667,38.0166667,67.11,97,76,4.38
11943,fr,porto-vecchio,41.589364,9.279907000000001,55.4,66,75,17.22
34840,rs,bezdan,45.852778,18.930556,39.2,93,56,3.36
17230,in,bhanpura,24.513,75.7469,83.31,39,0,4.27
6152,cn,linhai,28.85,121.11666699999999,75.3,45,20,9.64
42373,us,la verne,34.1008333,-117.76694440000001,61.74,72,75,3.36
21628,jp,namie,37.483333,141.0,59,41,20,8.05
25345,ng,owerri,5.483333,7.030407,73.5,95,8,4.94
46395,vn,ben tre,10.233333,106.38333300000001,93.48,49,0,10.09
7244,co,riofrio,4.157104,-76.28851800000001,64.23,91,44,1.81
37510,ru,ostrovnoy,68.05305600000001,39.513056,21.57,88,80,9.75
9633,de,sebnitz,50.966667,14.283332999999999,46.4,81,0,8.05
10100,dk,pandrup,57.221197,9.67273,34.44,95,92,10.09
32107,ro,altina,45.933333000000005,24.466667,45.55,93,90,9.42
22005,ke,konza,-1.75,37.1166667,63.19,93,75,4.7
4375,by,dzerzhinsk,53.685,27.141944399999996,37.4,93,90,13.42
19174,in,raniganj,23.616667,87.133333,93.57,31,0,5.61
8672,de,cadolzburg,49.45,10.866667,44.1,87,90,10.29
11358,fr,annonay,45.239695000000005,4.670747,44.62,56,0,8.05
14405,gr,ziparion,36.875,27.204166700000002,60.01,82,75,18.7
25186,ne,agadez,16.9738889,7.9908333,75.2,15,0,9.17
3784,br,riachao do jacuipe,-11.8,-39.35,72.78,96,92,1.59
5416,ch,meggen,47.04722,8.369489,40.26,100,40,6.93
3356,br,maruim,-10.75,-37.083333,78.8,78,40,8.05
29263,ph,nueva fuerza,9.8464,124.167,80.6,83,90,9.17
25559,nl,heerde,52.389029,6.03942,44.6,100,90,8.05
1133,ba,koran,43.8102778,18.5688889,41,100,75,2.24
20552,it,lonigo,45.383333,11.383333,44.67,93,88,4.7
14958,hn,la estancia,15.05,-86.35,75.2,88,20,2.24
45833,us,lindon,40.3433333,-111.72,47.17,74,1,2.71
39462,se,oskarshamn,57.266667000000005,16.433332999999998,35.6,100,90,8.05
845,au,goulburn,-34.751549,149.720856,62.25,91,92,5.73
2860,br,erechim,-27.633333,-52.283333,68,68,0,11.41
21546,jp,maki,37.75,138.883333,64.4,25,0,16.11
41093,tz,songwa,-3.5166667,33.5166667,64.14,100,92,4.16
27476,ph,bobon,15.6691,120.3854,84.2,58,75,4.7
39787,sl,seidu,9.016666699999998,-10.6,68.73,96,36,6.73
13601,gr,grevena,40.0833333,21.4166667,41,75,40,4.7
24037,mx,las varas,21.166667,-105.16666699999999,68,100,5,0.81
6824,co,el cocuy,6.407836,-72.444637,47.67,83,12,1.81
16977,in,asarganj,25.15,86.68333299999999,87.63,36,0,6.17
12403,gb,chippenham,51.46,-2.124722,40.71,86,90,4.7
36262,ru,khakurinokhabl,45.010278,40.225,35.43,88,0,11.1
998,az,masalli,39.027781,48.670276,41,93,90,2.93
7286,co,san antonio del tequendama,4.618889,-74.353889,48.2,81,32,2.24
41243,ua,delyatyn,48.523545,24.624658,42.8,100,75,2.71
24858,mx,villa juarez,22.116667,-102.06666700000001,62.6,21,5,4.7
28637,ph,liberty,6.455278,124.981944,97.17,33,0,4.16
24674,mx,tetecala,18.716667,-99.4,58.65,95,36,1.48
16812,il,tayibe,32.266161,35.008932,54.99,81,20,2.24
15136,hn,san jeronimo,14.9666667,-88.8666667,59.91,93,8,1.92
5708,cl,san vicente,-34.433333000000005,-71.083333,41.1,73,0,2.04
22012,ke,luanda,0.3077778,34.0586111,64.95,100,92,3.94
44247,us,madison,32.4616667,-90.11527779999999,41.63,100,0,3.15
1967,bg,kaolinovo,43.6166667,27.116666700000003,50.37,96,88,11.88
32540,ro,camarasu,46.783333,24.133333,44.6,93,0,3.36
18915,in,pandavapura,12.500556,76.673333,85.2,32,8,9.64
36511,ru,kovdor,67.566165,30.475758000000003,17.88,94,76,2.93
12782,gb,morley,53.733332999999995,-1.583333,40.71,80,75,9.17
2331,br,ananas,-6.360278,-47.91,72.33,97,68,5.06
16149,hu,vertesszolos,47.621057,18.381298,44.6,100,0,6.93
26442,pa,la cabima,9.133333300000002,-79.5333333,77,78,20,1.12
21683,jp,ojiya,37.3,138.8,58.11,54,0,4.83
46229,uz,bekobod,40.220833299999995,69.2697222,48.2,93,90,15.66
19814,in,ziro,27.633333,93.833333,64.4,93,90,3.36
17291,in,bilara,26.179167,73.705556,88.71,32,0,6.4
7786,cv,sal rei,16.1833333,-22.9166667,68,88,40,24.16
40393,tj,uroteppa,39.9108333,69.0063889,48.2,93,90,15.66
44113,us,sturgis,41.7991667,-85.4191667,28.8,86,1,5.82
26952,ph,aguada,12.816667,123.83333300000001,82.59,89,8,16.02
18850,in,nurpur,31.166666999999997,76.483333,84.75,34,20,4.27
13108,ge,lentekhi,42.7855556,42.726111100000004,38.13,62,0,1.92
17304,in,biloli,18.766667,77.733333,90.15,46,0,4.83
40050,td,guelengdeng,10.933333300000001,15.5333333,73.14,32,44,7.29
36720,ru,kusye-aleksandrovskiy,58.283889,58.376389,7.35,83,0,5.73
4011,br,sao pedro da aldeia,-22.85,-42.1,75.93,100,44,7.85
4918,ca,rocky mountain house,52.366667,-114.91666699999999,19.5,67,0,2.26
11594,fr,evry,48.632804,2.440492,45.63,81,75,16.11
40325,th,trat,12.241028,102.515472,86,74,20,6.85
15195,hn,sensenti,14.483333300000002,-88.9333333,61.62,76,8,3.04
27861,ph,casay,9.8204,123.5496,82.4,83,90,4.7
46138,us,pleasant prairie,42.55305560000001,-87.9333333,30.6,74,40,6.93
19805,in,yellandu,17.6,80.333333,88.26,65,0,4.5
27646,ph,cabanbanan,10.0852,122.9579,78.54,95,24,4.27
37318,ru,novolugovoye,54.9792,83.1138,-4.01,83,0,2.24
11449,fr,brie-comte-robert,48.692468,2.610902,45.63,81,90,17.22
38828,ru,varlamovo,53.1897,48.4226,1.5,71,12,4.38
12067,fr,selestat,48.259322999999995,7.4542850000000005,44.6,87,90,11.41
25242,ng,birnin kebbi,12.453889,4.1975,62.25,54,0,2.48
33762,ro,otelu rosu,45.533333,22.366667,46.05,99,88,2.59
30496,ph,tinaan,11.266667,123.75,82.77,98,12,18.37
8247,cz,roznov,49.4606,18.136664,41.86,87,40,10.29
38749,ru,ushumun,52.783333,126.53333300000001,27.42,34,0,5.5
16591,ie,ballinasloe,53.3275,-8.2194444,31.47,86,0,7.63
28753,ph,luna,16.96975,121.729242,77.91,84,48,3.94
38087,ru,shalinskoye,55.7194,93.7589,8.97,83,0,3.71
26282,nz,rolleston,-43.583333,172.383333,57.2,76,12,6.93
43491,us,zionsville,39.9508333,-86.2619444,30.9,74,75,3.36
2517,br,bonito,-8.483333,-35.733333,69.45,97,32,4.83
10652,es,alcudia,39.853605,3.122404,44.6,93,20,2.24
11071,es,torre del campo,37.772009000000004,-3.897411,48.2,100,90,7.96
23781,mx,emiliano zapata,18.833333,-99.18333299999999,60.8,59,5,5.82
15733,hu,kotaj,48.05,21.716667,42.8,93,0,2.24
14256,gr,souflion,41.1919444,26.299444399999995,57.2,93,40,16.11
16930,in,anakapalle,17.683332999999998,83.016667,89.07,56,0,5.5
2598,br,cambara,-23.0411,-50.0741,72.87,78,0,4.61
41982,ug,kyotera,-0.6155556,31.5175,69.81,100,48,4.27
2677,br,careiro da varzea,-3.2,-59.75,76.95,83,0,6.93
46255,uz,kuva,40.523611100000004,72.0616667,51.01,76,80,4.72
17496,in,daman,20.416667,72.85,82.32,85,0,15.79
13097,ge,kaspi,41.9161111,44.4241667,35.6,100,90,5.82
11032,es,sant just desvern,41.383333,2.083333,45.48,76,0,10.29
11495,fr,champigny-sur-marne,48.81642,2.493656,45.63,81,75,16.11
25782,no,ballangen,68.335278,16.821111,10.4,78,0,4.72
32906,ro,dobarlau,45.733333,25.883333,40.02,93,92,2.04
9006,de,hersbruck,49.5125,11.433889,44.13,75,75,8.05
37696,ru,poim,53.026393999999996,43.187214000000004,4.38,88,48,9.98
9443,de,parchim,53.433333,11.85,44.6,100,90,5.82
13145,gf,grand-santi,4.25,-54.3833333,76.11,81,92,3.38
2596,br,camaqua,-30.85,-51.816666999999995,55.95,95,0,2.15
14471,gt,el tejar,14.647778,-90.792778,68,68,0,11.41
25724,nl,wageningen,51.973279,5.667555999999999,45.32,100,90,8.05
34656,ro,vama buzaului,45.583333,25.983333,40.02,93,92,2.04
1093,ba,donji vakuf,44.1436111,17.4,39.03,99,36,1.92
25021,my,kuang,3.2594,101.5541,91.38,52,75,4.7
3640,br,picui,-6.516667,-36.35,67.2,95,8,3.83
45384,us,levittown,18.4519444,-66.1819444,78.8,78,20,6.93
45579,us,aldine,29.932222200000002,-95.38,51.8,44,1,5.82
39396,se,akersberga,59.483332999999995,18.3,32.9,100,90,8.05
17640,in,elayirampannai,9.266667,77.833333,84.2,62,75,6.93
36516,ru,koygorodok,60.444984,50.996802,17.16,84,80,6.4
1458,be,deerlijk,50.85,3.35,42.33,93,92,19.46
34340,ro,stefan cel mare,43.816666999999995,24.216667,50,93,75,9.17
1769,be,stavelot,50.383333,5.933333,44.26,100,92,12.75
33961,ro,racaciuni,46.333333,26.983333000000002,44.6,100,90,6.93
10369,ec,puerto baquerizo moreno,-0.9,-89.6,77.73,100,92,4.38
32928,ro,dolhesti,46.866667,27.9,42.8,93,75,13.87
20665,it,montesilvano,42.483333,14.133332999999999,55.4,58,44,4.7
26235,nz,manaia,-39.55,174.133333,64.59,99,20,18.7
45351,us,barranquitas,18.1886111,-66.30666670000001,78.8,78,20,6.93
6496,cn,yuancheng,23.733333,114.683333,76.2,57,0,5.17
279,am,kanakeravan,40.2472222,44.536666700000005,39.2,69,0,1.12
42525,us,san diego,32.7152778,-117.1563889,59.41,82,75,6.93
29249,ph,new lagao,6.7027779999999995,124.64138899999999,97.17,33,0,4.16
12815,gb,northallerton,54.333332999999996,-1.433333,40.1,80,88,6.93
12169,fr,villiers-le-bel,49.008747,2.39819,45.5,81,90,14.99
46748,zm,kabompo,-13.6,24.2,67.65,98,20,8.75
33160,ro,glodeni,45.016667,25.466667,46.77,97,92,2.26
44543,us,highland park,40.4958333,-74.4247222,34.7,100,90,4.7
11401,fr,beauchamps,48.83238,-1.360005,46.4,93,90,8.05
6008,cn,helong,42.539744,128.99722,52.35,72,36,8.86
42237,us,camarillo,34.2163889,-119.03666670000001,60.53,82,90,5.82
36629,ru,krasnyy yar,51.629166999999995,46.421667,-0.41,91,32,2.24
3834,br,russas,-4.933333,-37.966667,78.63,81,80,4.38
36606,ru,krasnyye baki,57.130995999999996,45.159924,10.05,82,80,6.73
8457,de,altotting,48.233333,12.683333,42.85,86,75,4.7
35524,ru,buguruslan,53.6554,52.442,3.84,82,24,3.71
6941,co,hobo,2.583333,-75.45,59.55,96,0,2.48
34992,rs,sevojno,43.845,19.898611,43.11,100,20,5.82
39954,sv,panchimalco,13.612777800000002,-89.18,76.35,94,5,2.71
44069,us,inkster,42.2941667,-83.31,29.28,86,90,5.82
44866,us,watertown,43.9747222,-75.91111109999999,30.2,92,90,4.7
27836,ph,carig,17.670663,121.75188899999999,78.27,74,48,3.6
22254,lb,jazzin,33.5416667,35.58888889999999,57.07,87,40,1.12
25446,nl,almelo,52.359606,6.656797,45.66,100,90,8.05
25920,no,kragero,58.86666700000001,9.416667,32,97,0,16.11
655,at,kuchl,47.616667,13.15,41,86,75,4.7
26217,nz,hunterville,-39.933333000000005,175.566667,63.51,71,0,19.71
10519,ee,rapla,59.00722220000001,24.792777800000003,35.6,100,90,5.82
6645,co,betania,5.607778,-75.7125,59,93,40,1.48
14881,hn,el plan,15.2833333,-87.9666667,77,100,20,3.36
10883,es,lloret de mar,41.699929,2.845646,40.39,100,20,3.04
32370,ro,boldesti-scaeni,45.033333,26.033333,46.4,93,90,9.17
22019,ke,mandera,3.9261111000000004,41.8461111,85.83,50,8,5.17
12106,fr,toulon,43.117705,5.941712,48.13,57,0,9.17
18950,in,patamundai,20.566667000000002,86.56666700000001,91.05,57,0,4.72
38193,ru,skhodnya,55.94805600000001,37.297778,27.79,92,90,13.42
2417,br,bacabal,-4.233333,-44.783333,73.77,97,92,5.84
26554,pa,santo domingo,7.75,-80.25,77.73,92,64,5.06
10755,es,cartama,36.711591,-4.630105,55.4,93,75,2.24
17624,in,dum duma,27.566667,95.56666700000001,75.2,60,40,5.82
32835,ro,cugir,45.833333,23.366667,44.6,93,90,2.15
20190,it,calolziocorte,45.8,9.433333,38.57,87,40,5.82
39142,ru,yukhnov,54.744443999999994,35.229721999999995,27.87,96,80,17.47
18891,in,palera,25.016667,79.233333,91.77,30,0,4.27
